ProductKey,NomProduit,Categorie,SousCategorie,PrixUnitaire,CoutUnitaire,Fournisseur
PR0001,Café en grains 101,Maison,Sous-catégorie entretien,21.84,12.92,Fournisseur 8
PR0002,Bougie parfumée 102,Bien-être,Sous-catégorie cosmétique,9.78,6.64,Fournisseur 2
PR0003,Pâtes complètes 103,Frais,Sous-catégorie viandes,35.08,22.50,Fournisseur 6
PR0004,Crème hydratante 104,Frais,Sous-catégorie viandes,20.05,12.75,Fournisseur 4
PR0005,Poulet fermier 105,Frais,Sous-catégorie produits laitiers,28.46,18.78,Fournisseur 6
PR0006,Lessive écologique 106,Maison,Sous-catégorie décoration,24.64,14.90,Fournisseur 5
PR0007,Jus d'orange 107,Bien-être,Sous-catégorie hygiène,41.45,30.02,Fournisseur 12
PR0008,Coussin décoratif 108,Frais,Sous-catégorie fruits & légumes,38.19,25.87,Fournisseur 8
PR0009,Eau pétillante 109,Frais,Sous-catégorie viandes,12.12,7.82,Fournisseur 11
PR0010,Liquide vaisselle 110,Frais,Sous-catégorie produits laitiers,46.91,29.52,Fournisseur 11
PR0011,Bougie parfumée 111,Frais,Sous-catégorie produits laitiers,26.54,18.08,Fournisseur 6
PR0012,Eau pétillante 112,Maison,Sous-catégorie entretien,8.66,6.08,Fournisseur 8
PR0013,Liquide vaisselle 113,Maison,Sous-catégorie décoration,2.39,1.57,Fournisseur 8
PR0014,Chocolat noir 114,Maison,Sous-catégorie entretien,38.59,23.07,Fournisseur 8
PR0015,Coussin décoratif 115,Bien-être,Sous-catégorie hygiène,21.17,14.59,Fournisseur 9
PR0016,Savon surgras 116,Bien-être,Sous-catégorie cosmétique,18.44,10.18,Fournisseur 5
PR0017,Eau pétillante 117,Épicerie,Sous-catégorie sucrée,38.12,23.37,Fournisseur 5
PR0018,Steak haché 118,Frais,Sous-catégorie viandes,43.18,31.14,Fournisseur 1
PR0019,Fromage de chèvre 119,Frais,Sous-catégorie fruits & légumes,46.47,27.68,Fournisseur 6
PR0020,Steak haché 120,Frais,Sous-catégorie produits laitiers,12.23,7.01,Fournisseur 12
